[[33mWarning [0m] warning: there were 15 feature warnings; re-run with -feature for details
[[34m  Info  [0m] Output written on leon.out
[[34m  Info  [0m] Output written on leon.out
[[34m  Info  [0m] Output written on leon.out
? RealTimeDeque.forceTwice                precond. (call force4[T](a119._1, q.r, q.f, nsf6._1, a1 ...)  ?:?  valid  U:smt-z3      0.201 ?
? RealTimeDeque.forceTwice                precond. (call force4[T](q.sf, q.f, q.r, q.sr, st@))          ?:?  valid  U:smt-z3      0.081 ?
? RealTimeDeque.forceTwice                precond. (call force4[T](q.sr, q.r, q.f, nsf6._1, nsf6. ...)  ?:?  valid  U:smt-z3      0.167 ?
? RealTimeDeque.funeCompose               tact (match exhaustiveness)                                   ?:?  valid  U:smt-z3      0.011 ?
? RealTimeDeque.funeCompose               tact (postcondition)                                          ?:?  valid  U:smt-z3      0.089 ?
? RealTimeDeque.funeCompose               tact (precond. (call funeCompose-VCTact[T](tail, st1, st2)))  ?:?  valid  U:smt-z3      0.011 ?
? RealTimeDeque.funeMonotone              match exhaustiveness                                          ?:?  valid  U:smt-z3      0.012 ?
? RealTimeDeque.funeMonotone              postcondition                                                 ?:?  valid  U:smt-z3      0.113 ?
? RealTimeDeque.funeMonotone              precond. (call funeCompose4[T](l1, st1, st2))                 ?:?  valid  U:smt-z3      0.011 ?
? RealTimeDeque.funeMonotone              precond. (call funeCompose4[T](l2, st1, st2))                 ?:?  valid  U:smt-z3      0.011 ?
? RealTimeDeque.funeMonotone              precond. (call funeMonotone4[T](tail28, l2, st1, st2, s ...)  ?:?  valid  U:smt-z3      0.088 ?
? RealTimeDeque.isConcrete                match exhaustiveness                                          ?:?  valid  U:smt-z3      0.019 ?
? RealTimeDeque.isConcrete                postcondition                                                 ?:?  valid  U:smt-cvc4    0.213 ?
? Queue.isEmpty                           postcondition                                                 ?:?  valid  U:smt-z3      0.031 ?
? RealTimeDeque.revAppend                 match exhaustiveness                                          ?:?  valid  U:smt-z3      0.012 ?
? RealTimeDeque.revAppend                 postcondition                                                 ?:?  valid  U:smt-z3      2.746 ?
? RealTimeDeque.revAppend                 precond. (call revAppend4[T](tail21, EagerStream[T](SCo ...)  ?:?  valid  U:smt-cvc4    2.504 ?
? RealTimeDeque.reverse                   postcondition                                                 ?:?  valid  U:smt-z3      0.037 ?
? RealTimeDeque.rotateDrop                match exhaustiveness                                          ?:?  valid  U:smt-z3      0.013 ?
? RealTimeDeque.rotateDrop                postcondition                                                 ?:?  valid  U:smt-z3      3.807 ?
? RealTimeDeque.rotateDrop                precond. (call drop6[T](BigInt(2), f, rval2._2))              ?:?  valid  U:smt-z3      0.125 ?
? RealTimeDeque.rotateDrop                precond. (call drop6[T](i, f, rval2._2))                      ?:?  valid  U:smt-z3      0.098 ?
? RealTimeDeque.rotateDrop                precond. (call rotateRev4[T](r, a113._1, EagerStream[T] ...)  ?:?  valid  U:smt-cvc4    7.961 ?
? RealTimeDeque.rotateRev                 match exhaustiveness                                          ?:?  valid  U:smt-z3      0.013 ?
? RealTimeDeque.rotateRev                 postcondition                                                 ?:?  valid  U:smt-cvc4   14.318 ?
? RealTimeDeque.rotateRev                 precond. (call drop6[T](BigInt(2), f, scr14._2))              ?:?  valid  U:smt-z3      0.129 ?
? RealTimeDeque.rotateRev                 precond. (call revAppend4[T](a109._1, a, a109._2))            ?:?  valid  U:smt-cvc4    0.317 ?
? RealTimeDeque.rotateRev                 precond. (call revAppend4[T](f, a, scr14._2))                 ?:?  valid  U:smt-z3      0.065 ?
? RealTimeDeque.rotateRev                 precond. (call take6[T](BigInt(2), f, a108._2))               ?:?  valid  U:smt-z3      0.089 ?
? Stream.size                             match exhaustiveness                                          ?:?  valid  U:smt-z3      0.036 ?
? Stream.size                             postcondition                                                 ?:?  valid  U:smt-z3      0.026 ?
? RealTimeDeque.tail                      match exhaustiveness                                          ?:?  valid  U:smt-z3      0.008 ?
? RealTimeDeque.tail                      postcondition                                                 ?:?  valid  U:smt-z3      0.139 ?
? RealTimeDeque.tail                      precond. (call force4[T](q.f, q.sf, q.r, q.sr, st@))          ?:?  valid  U:smt-z3      0.098 ?
? RealTimeDeque.tail                      precond. (call tailSub4[T](q, scr17._2))                      ?:?  valid  U:smt-z3      1.347 ?
? RealTimeDeque.tailSub                   match exhaustiveness                                          ?:?  valid  U:smt-z3      0.007 ?
? RealTimeDeque.tailSub                   match exhaustiveness                                          ?:?  valid  U:smt-z3      0.012 ?
? RealTimeDeque.tailSub                   postcondition                                                 ?:?  valid  U:smt-z3      4.684 ?
? RealTimeDeque.tailSub                   precond. (call createQueue4[T](nf8, q.lenf - BigInt(1), ...)  ?:?  valid  U:smt-z3      9.885 ?
? RealTimeDeque.tailSub                   precond. (call forceTwice4[T](q, scr18._2))                   ?:?  valid  U:smt-z3      0.190 ?
? RealTimeDeque.take                      match exhaustiveness                                          ?:?  valid  U:smt-z3      0.013 ?
? RealTimeDeque.take                      postcondition                                                 ?:?  valid  U:smt-z3      0.109 ?
? RealTimeDeque.take                      precond. (call take6[T](n - BigInt(1), tail23, scr12._2 ...)  ?:?  valid  U:smt-cvc4    0.189 ?
? RealTimeDeque.takeLazy                  match exhaustiveness                                          ?:?  valid  U:smt-z3      0.047 ?
? RealTimeDeque.takeLazy                  postcondition                                                 ?:?  valid  U:smt-z3      0.571 ?
? RealTimeDeque.takeLazyPreMonotone       tact (match exhaustiveness)                                   ?:?  valid  U:smt-z3      0.009 ?
? RealTimeDeque.takeLazyPreMonotone       tact (postcondition)                                          ?:?  valid  U:smt-z3      0.039 ?
? Queue.valid                             postcondition                                                 ?:?  valid  U:smt-z3      0.033 ?
?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? total: 78     valid: 78     invalid: 0      unknown 0                                                                          60.523 ?
?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
[[34m  Info  [0m] Output written on leon.out
[[34m  Info  [0m]  - Now considering 'postcondition' VC for revAppend-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for drop-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for take-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for takeLazy-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for rotateRev-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for rotateDrop-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for createQueue-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for force-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for cons-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for tail-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for tailSub-time @?:?...
[[34m  Info  [0m]  => VALID
[[34m  Info  [0m]  - Now considering 'postcondition' VC for reverse-time @?:?...
[[34m  Info  [0m]  => VALID
Resource Verification Results: 
  ????????????????????????
??? Verification Summary ?????????????????????????????????????????????????????????????????????
? ????????????????????????                                                                   ?
? RealTimeDeque.cons-time              postcondition    ?:?   valid   U:smt-z3         0.193 ?
? RealTimeDeque.createQueue-time       postcondition    ?:?   valid   U:smt-z3         0.240 ?
? RealTimeDeque.drop-time              postcondition    ?:?   valid   U:smt-z3         0.112 ?
? RealTimeDeque.force-time             postcondition    ?:?   valid   U:smt-z3         0.277 ?
? RealTimeDeque.revAppend-time         postcondition    ?:?   valid   U:smt-z3         0.112 ?
? RealTimeDeque.reverse-time           postcondition    ?:?   valid   U:smt-z3         0.011 ?
? RealTimeDeque.rotateDrop-time        postcondition    ?:?   valid   U:smt-cvc4       5.958 ?
? RealTimeDeque.rotateRev-time         postcondition    ?:?   valid   U:smt-z3         0.169 ?
? RealTimeDeque.tail-time              postcondition    ?:?   valid   U:smt-z3         2.752 ?
? RealTimeDeque.tailSub-time           postcondition    ?:?   valid   U:smt-z3         0.150 ?
? RealTimeDeque.take-time              postcondition    ?:?   valid   U:smt-z3         0.107 ?
? RealTimeDeque.takeLazy-time          postcondition    ?:?   valid   U:smt-z3         0.075 ?
??????????????????????????????????????????????????????????????????????????????????????????????
? total: 12     valid: 12     invalid: 0      unknown 0                               10.156 ?
??????????????????????????????????????????????????????????????????????????????????????????????
